id,word,definition
983,Auxiliary,a group or team that provides assistance
984,Avail,to be of advantage or use
985,Availability,having the time or means supplies to do something
986,Available,accessible and obtainable
987,Avalanche,an unexpected accumulation
988,Avant-garde,cutting-edge; trendy
989,Avarice,A strong desire and greed for money/material things
990,Avaricious,desirous of wealth or advancement
991,Avatar,"in technology, an icon or figure representing a particular person"
992,Avenge ,to retaliate against a group or person who has harmed you in some way
993,Avenue,a method or means by which something may be accomplished 
994,Aver,to assert something in a convincing way 
995,Average,ordinary; not very special
996,Averse,actively not liking something
997,Aversion,a feeling of disgust toward something with a desire to avoid it
998,Avert,to stop an incident from occurring
999,Avian,relating to birds
1000,Aura ,"a unique sensation or feeling that stems from an object, person, or place"
1001,Aural,pertaining to the ear or the sense of hearing
1002,Auricular,of or relating to the ear or the sense of hearing
1003,Auriferous,describes rocks or minerals that contain gold
1004,Auspices,guidance and support
1005,Auspicious,being a sign of future success; indicating a promising future
1006,Austere,without any decoration; strict and serious in manner
1007,Authentic,genuine; real; unfaked
1008,Authenticate,to prove that something is true or genuine
1009,Author,someone who writes books for a living
1010,Authoritarian,preferring or enforcing strict obedience to authority as opposed to individual freedom
1011,Authoritative,having an attribute that encourages people to obey you
1012,Authority,the power to enforce rules or give orders
1013,Authorize,to give official permission
1014,Authorship,the job of written composition 
1015,Autobiography,the story of an individual’s life written by that individual
1016,Autochthonous,original inhabitants of a place without any migration or intermingling of other groups
1017,Autocracy,a government type in which one person has boundless power
1018,Autocrat,an individual who rules without considering others
1019,Autocratic,not concerned about the wishes or opinions of others; heavy-handed
1020,Autodidact,self-taught person
1021,Autograph,"a person’s own handwriting, especially the signature of a famous or admired person"
1022,Automated,controlled by a machine rather than a person
1023,Automatic,"something that is automated, or acts of its own accord without conscious effort or input"
1024,Automatically,spontaneously and involuntarily
1025,Automation,the process of making a machine or system work without having to be controlled by a person
1026,Automotive,pertaining to a car or other powered automobile
1027,Autonomy,the quality or state of being self-governing
1028,Autopsy,dissection of a body after death that is conducted to determine how the person died
1029,Autumn,the season between summer and winter; fall
1030,Auxiliary,a group or team that provides assistance
1031,Avail,to be of advantage or use
1032,Availability,having the time or means supplies to do something
1033,Available,accessible and obtainable
1034,Avalanche,an unexpected accumulation
1035,Avant-garde,cutting-edge; trendy
1036,Avarice,A strong desire and greed for money/material things
1037,Avaricious,desirous of wealth or advancement
1038,Avatar,"in technology, an icon or figure representing a particular person"
1039,Avenge ,to retaliate against a group or person who has harmed you in some way
1040,Avenue,a method or means by which something may be accomplished 
1041,Aver,to assert something in a convincing way 
1042,Average,ordinary; not very special
1043,Averred,stated something that was true and accurate
1044,Averse,actively not liking something
1045,Aversion,a feeling of disgust toward something with a desire to avoid it
1046,Avert,to stop an incident from occurring
1047,Avian,relating to birds
1048,Aviary,confinement for keeping birds; a birdhouse
1049,Aviation,"the activity of designing, producing, or flying an aircraft"
1050,Aviator,a pilot
1051,Avid,enthusiastic; passionate
1052,Avidity,a strong eagerness or desire
1053,Avidly,in an excited or enthusiastic manner
1054,Avocation,an activity one enjoys when he or she is not working
1055,Avoid,to keep away from; dodge or evade
1056,Avoidable,able to be stopped or prevented
1057,Avoidance,the act of staying away from someone or something
1058,Avoirdupois,a system in the United States for measuring a pound equaling to sixteen ounces
1059,Avouch,to declare freely and openly; to assert
1060,Avow,to admit or confess something publicly
1061,Avowal,a public testimony or statement
1062,Avuncular,"kind or friendly, like an uncle"
1063,Await,to wait for
1064,Aware,informed; understanding a situation
1065,Awareness,the condition of being informed 
1066,Awe ,the sensation one gets from being astounded
1067,Awestruck,filled with the sentiments of wonder and awe
1068,Awful,horrible; terrible
1069,Awkward,to act in a strange way
1070,Awning,"an overhang usually attached to a building that is used to block inclement weather conditions like snow, rain, or excessive sunlight"
1071,Awoke,past tense having awakened or risen from sleep
1072,AWOL,away from military duties without permission
1073,Awry,"away from the appropriate, planned, or expected course"
1074,Axiom,a rule or principal that many people accept as true
1075,Axiomatic,evident without proof or argument
1076,Axis,an imaginary line about which a body rotates
1077,Axle,a rod or spindle (either fixed or rotating) passing through the center of a wheel or group of wheels
1078,Axon,the part of a nerve cell that transmits signals away
1079,Aye,a synonym for yes that is used to express agreement or approval
1080,Azure,a vibrant blue hue
1081,Babble,to chatter about something in a typically foolish or excitable way
1082,Babel,a confused mixture of sounds and voices
1083,Babelicious,very physically attractive or sexy
1084,Baccalaureate,a typical four-year degree from a college or university
1085,Bacchanal ,a wild incident involving a drunken celebration
1086,Bacchanalian,relating to or given to reveling and drunkenness
1087,Bachelor,"a typically young, single man actively in search of a romantic relationship"
1088,Back-and-forth,moving first in one direction and then in another
1089,Backache,a pain or ache in the area around one’s spine
1090,Backbite,to speak negatively or maliciously about someone who is not present to defend themselves
1091,Backbite,to talk or gossip about someone in a way that is spiteful or mean
1092,Backbone,the foundation or sturdiest part of something
1093,Backdoor,refers to an indirect or dishonest way of doing or achieving something
1094,Backdoor,an indirect and dishonest way of doing something
1095,Backdrop,a painted piece of cloth that is used as the background for a performance picture
1096,Backer,a supporter or follower of someone or something
1097,Backfire,of a plan or scheme to have the opposite outcome of what was expected
1098,Background ,the area or scenery behind the main object of focus
1099,Backhand,to strike someone with the upside of the hand
1100,Backhoe,a mechanical tractor with a bucket on an extending arm that is used to dig things up
1101,Backlash,a strong feeling among a group of people in reaction to a change or recent event
1102,Backlog,work that has piled up 
1103,Backpedal,to change one’s previously expressed opinions or statements
1104,Backrest,a support used to brace the area around one’s spine
1105,Backstab,to betray one’s friendship by acting in a deceitful way or speaking against someone when they’re not around
1106,Backup,a person or thing that assists or supports someone/something else
1107,Backward,pertaining to the direction towards the back 
1108,Bacteria,"microscopic living organisms, some of which are dangerous and can cause illness"
1109,Bacterium,once-celled microscopic living organisms that can cause infection
1110,Bade,the past tense of bid; bade is used to express greetings and goodbyes
1111,Badge,a small piece of metal or plastic worn to show that you are a part of some specific group or organization
1112,Badger,to bother or pester
1113,Badinage ,good-humored banter
1114,Badly,severely or seriously
1115,Baffled ,totally confused or puzzled
1116,Bafflement,a state of confusion or disarray
1117,Bail,an amount of money that a person who has been accused of a crime pays to a law court so that they can leave jail temporarily
1118,Bailiff,a legal officer who maintains order in a courtroom during a trial
1119,Bailiwick,the district within which a bailie or bailiff has jurisdiction
1120,Bait-And-Switch,the action of advertising a product with the intent of selling inferior goods
1121,Balance,remainder
1122,Balderdash,ridiculous thoughts or words
1123,Bale,"a bundle of something (paper, hay, etc.) tightly bound together"
1124,Baleful ,hinting at possible harm or danger
1125,Balk,refuse to comply
1126,Balkanization,"typically as the result of or end of a war, when large land areas are broken down into smaller states"
1127,Ballad,a slow tune that usually focuses on love
1128,Ballistic,"suddenly angry, sad, or otherwise overcome with emotion"
1129,Ballistics,the scientific study of the motion of objects that are thrown or shot through the air
1130,Ballot,a piece of paper or sheet on which a voter marks his or her choice
1131,Ballyhoo,a fuss or excessive publicity
1132,Balm,similar to a lotion that is used to soothe dry skin
1133,Balmy,enjoyable and gentle
1134,Baloney,nonsense
1135,Balustrade,an attachment to the side of a wall near a set of stairs or a waist-level wall used to prevent people from falling down or over something
1136,Bamboozle,to cheat or deceive another person
1137,Ban,a ban means to exclude something or someone from a place
1138,Banal,boring because it contains nothing new and lacks originality
1139,Banausic,relating to jobs or workers that require/have technical skills rather than higher education
1140,Bandwagon,a cause or thing that has become trendy or fashionable
1141,Bandy ,to exchange words back and forth
1142,Bane,something causing misery or death
1143,Baneful,destructive or harmful
1144,Banish ,to cast out or away
1145,Banished,sent one away or forced one to leave a place
1146,Bankrupt,declared in law unable to pay debts owed; financially ruined
1147,Banquet,a large celebratory meal; a feast
1148,Bantam,petite-sized chickens; a short and aggressive individual
1149,Banter,good humored conversation
1150,Barb,a sharp pointy wire that projects out from a longer wire or hook
1151,Barbarian,refers to a person who is considered uncivilized or with no manners
1152,Barbaric,uncivilized; rude
1153,Barbarous,"cruel, brutal"
1154,Barbed,having sharp pointy wires stick out from a longer wire or hooks
1155,Bare,"naked, uncovered"
1156,Barefoot,without socks or shoes
1157,Barely,hardly ever; rarely
1158,Bargain,good deal; surprisingly cheap
1159,Barge,to move in a rough or forceful way
1160,Barker,a person who calls out to passersby to attract customers to a theater or sideshow
1161,Barometer,something used as an indicator
1162,Baron,a male member of the lowest rank of English nobility 
1163,Baroque ,"having a great deal of decorative embellishment; also referring to a time period in which heavy ornamentation was used in design, music, and art"
1164,Barracks,lodging quarters in a structure for military troops
1165,Barrage,"a large volume of something, or a large quantity of things happening all at once"
1166,Barren,(of land) a place with little or no vegetation
1167,Barren,unable to reproduce or grow something
1168,Barrette,a typically bar-shaped clip or ornament for the hair
1169,Barricade,a barrier used to close or block a road 
1170,Barrier,an obstacle that blocks access
1171,Barring,excluding a person or something
1172,Barrister,a British lawyer who is allowed to argue cases in the higher law courts
1173,Barter,to make an exchange using something other than a from of currency
1174,Base,the bottom section that sustains a bigger item or thing
1175,Baseline,a minimum starting point
1176,Baseness,a shortage of positive qualities
1177,Bash,to strike someone or something with extreme force 
1178,Bashful,shy or easily embarrassed
1179,Basic,simple and not complicated
1180,Basin,a kitchen sink
1181,Basis,"foundation, base"
1182,Bask ,to obtain joy from receiving praise or attention
1183,Bass,"low in pitch, such as a male voice or an instrument"
1184,Bastion,an individual or object dedicated to a belief or idea
1185,Batch,"collection, group, or quantity of something made at one time"
1186,Bate,the action of a hawk beating its wings to attempt a takeoff from its perch
1187,Bathe,to clean oneself immersion in water or using water
1188,Bathos,"a sudden change in a style of writing or speech that involves going from a complex or elaborate form to a trivial one, either in topic or wording"
1189,Battalion,"a military unit that is usually 300 to 800 soldiers, comprised of several companies"
1190,Battle,a fight or confrontation in which two sides face off
1191,Battlement,a wall around the top of a fortress with spaces in it through which the people inside the castle shoot weapons
1192,Batty,crazy and out of one’s mind
1193,Bauble,a cheap showy ornament or piece of jewelry
1194,Bawdy ,indecent; obscene
1195,Bawl,to cry extremely loudly
1196,Bay,an inlet by the sea where the land curves inward
1197,Bayonet,a long knife attached to the end of a rifle
1198,Bayou,slow-moving creek or swamp
1199,Bazaar,a market (frequently seen in the Middle East) that offers an assortment of items for purchase
1200,Beacon,a thing or person that provides guidance to people
1201,Beadle,a British term used to refer to a leader of a church who assists the minister or priest in his duties
1202,Beak,"the hard, pointed part of a bird’s mouth"
1203,Beam,to smile very happily
1204,Beamed,shined brightly
1205,Bear,to tolerate or accept something
1206,Bearable,capable of being endured
1207,Bearing,carrying; having; withstanding
1208,Beast,"a large, dangerous animal"
1209,Beatific,heavenly or blessed
1210,Beatitude,utmost bliss and happiness
1211,Beau,a wealthy gentlemen
1212,Beaucoup,many; a great number
1213,Beauteous,beautiful
1214,Beautify,"to make beautiful, or to increase the beauty of"
1215,Beauty,"the quality of being pleasing to look at because of shape, color, sound or other sensory aspects"
1216,Beck,a stream that moves from a mountain
1217,Beckon,to motion for an individual to come closer
1218,Bedfellow,an ally or associate connected to a person through a particular activity
1219,Bedizen,to be adorned in tawdry or loud clothing
1220,Bedlam,a condition of chaos
1221,Bedraggled,messy and filthy
1222,Bedrock,solid rock that is under the soil
1223,Befall,to occur or happen to a person
1224,Befitting ,suitable
1225,Beforehand,earlier or previously
1226,Befriend,to become a person’s pal or friend
1227,Befuddled,puzzled; baffled
1228,Beget,to cause (something) to happen or exist
1229,Beggar,a person who begs for money or food due to extreme poverty 
1230,Beginner,a person just learning a skill or activity
1231,Begrudge,to be envious of what one feels another does not deserve
1232,Beguile,to attract or interest someone
1233,Begun,started
1234,Behalf,representative of
1235,Behavior,conduct
1236,Behemoth,gigantic and very powerful
1237,Behest ,a request of great importance
1238,Behold,"to see, or to look at"
1239,Beholden,owing something in return for service or help
1240,Behoof,benefit or advantage
1241,Behoove,in an individual’s interest
1242,Belabor,to emphasize an idea or suggestion too much in a way that becomes boring or annoying; to go on and on about something
1243,Belated,occurring past the regular time period
1244,Belay,tying a rope to an object to to keep it steady or down. occassionally used to reference climbers who tie ropes to rocks to belay down the mountainside
1245,Beleaguer,to cause constant or repeated trouble for
1246,Belfry,a bell tower attached to the top of a church or other building
1247,Belie,to give a false impression of 
1248,Belief,the feeling of being certain that something exists or is true
1249,Believe,to consider something to be true; to have confidence or trust in something
1250,Belittle,to speak of something or someone in unflattering terms
1251,Bell curve,a graph that represents the distribution of probabilities of a set of data in a bell-shaped pattern
1252,Bellhop,a hotel worker who performs tasks like carrying luggage for guests
1253,Bellicose,demonstrating aggression and willingness to fight; eager for war
1254,Belligerent,hostile; ready to fight
1255,Bellow,a low and roaring sound 
1256,Bellwether,something or someone that points out upcoming trends
1257,Belong,be the property of
1258,Beloved,describing someone who is much loved
1259,Below,underneath; on a lower level
1260,Bemoan ,to express displeasure 
1261,Bemused,preoccupied or lost in thought
1262,Bench,to take a player out of a game
1263,Benchmark,a standard or target
1264,Benedict,"a man who was a bachelor for an extended period of time, but has recently married"
1265,Benediction,a brief prayer asking for a blessing or help
1266,Benefaction,a distributed donation
1267,Benefactor,"someone who helps another person, group, etc., by giving money"
1268,Beneficent,prone to doing kind and generous things
1269,Beneficial,helpful or good to something or someone
1270,Beneficiary,a group or individual that gains something
1271,Benefit,"a payment, advantage, or gift"
1272,Benevolence,kindness; generous giving
1273,Benevolent,"willing to help, do good, and be generous towards people"
1274,Benighted,lacking knowledge
1275,Benign,having no significant effect; harmless
1276,Benignant,kind and goodhearted
1277,Benignity,the trait of being gentle and nice
1278,Benison,a blessing
1279,Bent,"the state of being curved, crooked, or inclined from a straight line "
1280,Bequeath,to give or leave by will 
1281,Bequest,property or money gifted after an individual’s death
1282,Berate,to yell at; to criticize or scold someone in a loud and angry way
1283,Bereave,to take away something
1284,Bereaved,depressed as a result of a loved one’s death 
1285,Bereavement,"the mental state which occurs after someone has suffered a loss, usually a death"
1286,Bereft,deprived
1287,Beret,a type of round brimless cap; headgear 
1288,Berry,a small succulent fruit; of any one of many varieties 
1289,Berserk,out of control with high emotions; wild
1290,Beseech,to ask someone for something in an urgent and sincere way
1291,Beset,to surround or attack from all sides
1292,Besiege,to approach with an excessive number of requests or questions
1293,Besmirch,to smear an individual’s reputation or character
1294,Besot,"to cause someone look silly or foolish, especially by drinking"
1295,Besotted,strongly infatuated or obsessed
1296,Bespeak,suggest; indicate
1297,Bespoke,individually or custom made
1298,Bestial,"like a wild animal or beast, exceptionally violent and cruel"
1299,Bestow,to give as a tribute or gift
1300,Bestowal,to freely give something as a gift
1301,Bestowed,presented with
1302,Bestride,to sit with legs on both sides of something
1303,Bet,to risk something against another person on the outcome of a future event
1304, Betide ,to occur or happen to; befall
1305,Betoken,indicate or specify 
1306,Betray,"expose (one's country, a group, or a person) to danger by treacherously giving information to an enemy"
1307,Betrothed ,the person to whom one is engaged
1308,Betterment,the process of improving something and making it better
1309,Between,"at, into, or across the space separating two objects or regions"
1310,Betwixt,"between, specifically between two objects"
1311,Bevel,to create a sloping surface or edge
1312,Bevy,a sizable group of things or individuals
1313,Bewail,expressing extreme sorrow by crying or complaining 
1314,Beware,"to use caution, pay attention to "
1315,Bewildered,puzzled or confused 
1316,Bewilderment,the circumstance of being in a puzzled state
1317,Bewitched,to cast a magical spell on someone
1318,Beyond,past a specified point
1319,Bias,"prejudice favoring a person, thing or group, most often in a way thought to be unfair "
1320,Bib,"a piece of cloth or plastic fitted around the neck of a person to prevent food from getting on their clothes while they eat, typically used for babies"
1321,Bibliography,"a list of the works referred to in a scholarly piece, usually at the end in the form of an appendix"
1322,Bibliophile ,an individual with a huge passion for books
1323, Bibulous ,related to alcohol consumption
1324,Bicameral,having two distinct compartments or chambers
1325,Bicentennial,taking place every two hundred years 
1326,Bicker,to argue about inconsequential or unimportant things
1327,Bid,"to put in an offer to buy something, especially at an auction"
1328,Bidet,a low oval basin used for washing one's genital
1329,Biennial ,taking place in two year intervals
1330,Bier,a frame on which a dead body or a coffin is carried before a funeral
1331,Bifurcate,divided or forked into two
1332,Big,"of considerable size, extent, or intensity"
1333,Bigamy ,the practice of having two spouses at the same time
1334,Bigly,"with great force, strongly"
1335,Bigot,a person who is obstinately or intolerantly devoted to his or her own opinions and prejudices
1336,Bilateral ,relating to both sides 
1337,Bilingual,having the ability to speak two languages
1338,Bilious,annoyed; bad-tempered
1339,Bilk,"defraud, cheat"
1340,Bill of Rights,the first ten amendments of the Constitution that guarantee the rights of the people of the United States
1341,Billet,a private nonmilitary house where soldiers were assigned to lodge
1342,Billfold,a wallet typically made of leather that is thin enough to fold on itself several times
1343,Billingsgate,harshly offensive and rude talking
1344,Billowing,swelling out or bulging
1345,Bin,a container that is used to store things
1346,Binary,associated with two elements or items
1347,Bind,to tie or fasten
1348,Binge watch,to watch multiple episodes of a television show back to back
1349,Binge,a short period of excessive consumption
1350,Biodegradable,having the ability to decompose organically without leaving an imprint on its surroundings
1351,Biodiversity,refers to the level of variety in living creatures and plants within a particular area
1352,Biography,a person’s life story as told by another person
1353,Biology,study of living matter
1354,Biomass,plant life used as a source of energy or fuel
1355,Biome,"a large naturally occurring community of flora and fauna occupying a major habitat, e.g., forest or tundra"
1356,Biopsy,"the act of removing and examining cells, fluids, or tissue to identify medical conditions"
1357,Biosphere,the combined regions of a planet that make it habitable and sustainable for living organisms
1358,Biotic,associated with living creatures
1359,Bipartisan,relating to supporters of two unlike groups
1360,Biped,an animal that walks on two feet
1361,Bipolar,a mental health disorder causing severe mood swings 
1362,Birch,a slender and smooth tree that has a wood covering that is usually white
1363,Birdbath,a small basin filled with water that birds can bathe in
1364,Birther,a person who believes former President Barack Obama was not born in the United States and should have been disqualified from being president
1365,Bisect ,to separate into two even or nearly even sections
1366,Bitten,having been wounded when a person or animal’s teeth were pushed down into the skin
1367,Bitter end,the end or conclusion of a very difficult situation
1368,Bitter,"agitated, disgruntled, or angry about something"
1369,Bittersweet,something that offers both joy and pain or the tastes of sweet and bitter together
1370,Bivouac,a makeshift shelter that is generally used only for a night
1371,Biweekly,once every two weeks
1372,Bizarre ,highly unusual
1373,Blab,to talk or gossip too much
1374,Black,"of the darkest color, like coal or the sky at midnight"
1375,Blacklist,to put a person or company’s name on a list of things that are not acceptable and should be boycotted
1376,Blackmail,to extort money from another by means of intimidation to not release damaging information
1377,Blade,"the flat edge of a knife, saw, or a weapon"
1378,Blame,to assign fault or responsibility
1379,Blameless,free of blame or innocent of wrongdoing
1380,Blanch,to grow fairer or paler as a result of fright or amazement
1381,Bland,"wanting in quality, taste, or seasonings "
1382,Blandish,to persuade or influence someone by using flattery
1383,Blandishment,the use of flattery (sweet-talk) and enticements to persuade somebody gently to do something
1384,Blaring,to make or cause sound to play loudly
1385,Blase,indifferent because of frequent exposure
1386,Blasphemy,great disrespect shown to God or something holy
1387,Blast,an explosion
1388,Blatant,"completely obvious, especially in an offensive manner"
1389,Blather,to ramble on for a long period of time
1390,Blatherskite,"a person who constantly talks, usually about nothing important"
1391,Blaze,a fire that is burning intensely
1392,Blazon,to exhibit in a vivid manner
1393,Bleak ,devoid of enthusiasm or life
1394,Bleary,"blurred eyes from being tired, upset, or as a result of old age"
1395,Blemish,a small flaw or imperfection that ruins the appearance of something
1396,Blend,a mixture of two or more things
1397,Bless,to express gratitude or thank someone
1398,Blessed,to have made something holy
1399,Blest,an archaic term meaning blessed and made holy
1400,Blight,
1401,Blimp,"an large, balloon-shaped aircraft with no wings that stays afloat by pressure from contained gas"
1402,Blind,not able to see or failing to understand
1403,Blindly,"doing something in an unaware manner, without thinking about the conditions or without protest"
1404,Blip,an unexpected and minor deviation from the norm
1405,Bliss,total happiness
1406,Blissful,extremely happy; full of joy
1407,Blister,a raised place or bubble on the skin or the surface of an object
1408,Blithe,carefree and unconcerned
1409,Blithesome,cheerful and lighthearted
1410,Blitz,"a sudden or intensive effort, often referring to a military attack"
1411,Blitzkrieg,a ruthless attack designed to quickly defeat or stun another
1412,Blizzard,a severe snowstorm with strong winds and reduced visibility
1413,Bloat,to make or become swollen with fluid
1414,Bloated,swollen with fluid
1415,Blob,"thick or sticky liquid is a small, often round"
1416,Bloc,an alliance of countries or people that work together for a goal
1417,Blockade,something used to block access to a certain area
1418,Bloke,slang term for a man
1419, Blossom ,to thrive or develop
1420,Blot,to dab at a spot or stain in order to remove it
1421,Bloviate,"to talk for a long time, typically about nothing important"
1422,Blow,a setback or misfortune
1423,Bludgeon,to strike over and over again with a weighty object 
1424,Blueprint,a design plan or a detailed technical drawing
1425,Bluestocking,"an educated, intellectual woman who is interested in books and ideas usually refers to a specific group of women in the 18th century"
1426,Bluff ,to display a fake expression of power or control 
1427,Blunder,a clumsy or embarrassing mistake
1428,Blunderbuss ,an awkward individual
1429,Blunt,"very direct in one's words, usually in a negative manner and in a rude way"
1430,Blurry,"Not clear, crisp, or focused"
1431,Blush,for a person’s face to redden in color due to awkwardness or shame
1432,Blustery,blowing in loud and abrupt bursts
1433,Board,a panel or plank
1434,Boast,brag
1435,Boastful,bragging
1436,Bobble,to move about up and down or side to side in a jerky motion
1437,Bodacious,extraordinary or amazing
1438,Bode,being a predictor of a specific result or outcome
1439,Bodice,"the part of a woman’s dress that is above the waist, but doesn’t include the sleeves"
1440,Bog,similar to a swamp but it is a collection of large stagnant water that is usually located on a higher level than what is around it
1441,Boggle,to baffle or confuse someone’s mind
1442,Bogus,not real; fake
1443,Bohemian,
1444,Boisterous,"Noisy, energetic, and rowdy"
1445,Bold,"courageous, not afraid"
1446,Boldness,being courageous or daring
1447,Bolster,to make something stronger or bolder
1448,Bombard ,"to attack continually, either physically or verbally"
1449,Bombastic,one who is full of himself; a self absorbed person; giving oneself high self-esteem or exaggerated dignity 
1450,Bombinate,to make a buzzing or humming noise
1451,Bon mot,a clever or witty remark
1452,Bon Voyage,a phrase used to wish a traveler a pleasant journey
1453,Bona Fide,real or done honestly
1454, Bonanza ,a large amount of a thing that is viewed as desirable
1455,Bond,to attach or stick
1456,Bondage ,the condition of being restrained
1457,Bonhomie,"friendliness; a pleasant, good-natured manner"
1458,Bonkers,crazy; insane
1459,Bonnet,"a woman's or child's hat tied under the chin, typically with a brim framing the face"
1460,Bonus,something extra or more that is added
1461,Book,to reserve or purchase something ahead of time
1462,Bookkeeping,the recording of financial transactions on a daily basis
1463,Booklore,knowledge gained from reading books
1464,Bookworm,someone who spends an inordinate amount of time studying or reading
1465,Boom,a sound that is loud and deep
1466,Boomerang,(of a plan) to backfire or reverse with negative consequences
1467,Boon,a benefit or blessing for which one should be grateful
1468,Boondoggle,a simple craft-like creation usually made by a pioneer or outdoorsy person
1469,Boor,an insensitive or inconsiderate individual
1470,Boorish," bad-mannered, rude, or insensitive"
1471,Boost,"to help, stimulate, or encourage something to improve"
1472,Boozy,intoxicated; drunk from consuming alcohol
1473,Border,the outer edge of something 
1474,Bore,a person or thing that is dull and wearisome
1475,Bored,having nothing of interest to do
1476,Boredom,the state of feeling dull and uninterested because you have nothing to do
1477,Borked,to obstruct someone from achieving a position of political power through defamation
1478,Borne,carried or spread by
1479,Borough,a town that has its own government
1480,Borrow,to receive something temporarily 
1481,Bossy,characteristic of a person who prefers to be in charge and give orders
1482,Botanical,related to plants
1483,Botany,the scientific study of plants
1484,Botch,to mess up or ruin
1485,Bothersome,causing bother or irritability
1486,Bottleneck,a point where something large is forced into a narrower space
1487,Bottomless,limitless; having an unlimited supply
1488,Bough,a large tree branch
1489,Bought,purchased
1490,Boulder,a large rock typically made smooth by erosion
1491,Bounce,to move quickly up and down 
1492,Bound,tied up
1493,Boundary,a line that marks the limits of an area 
1494,Boundless,unlimited; endless
1495,Bounteous,ample; lavish
1496,Bountiful,having a generous amount 
1497,Bounty,an abundance
1498,Bouquet,a creative arrangement of flowers 
1499,Bourgeois,characteristic of the social middle class or relating to one who likes to put on airs 
1500,Bout,"a period of something, usually painful or unpleasant"
1501,Boutique,a small store that sells fashionable items
1502,Bovine ,uninteresting and sluggish 
1503,Bow,a looped knot that is tied into something
1504,Bowdlerize,to delete or change the parts of a text that are viewed as offensive
1505,Boycott,
1506,Boyhood,the state or period of being a boy
1507,Bracken,any of several coarse ferns
1508,Bracket,a category or group that people or things are placed in
1509,Brackish,unappealing in taste
1510,Brackish,slightly salty
1511,Brag,boastful talk 
1512,Braggadocio ,the boasting or bragging about something that is not true
1513,Braggart ,an individual who brags a great deal
1514,Braille,a writing system consisting of raised dots used to help people who are blind read material
1515,Brainstorm,the pondering of ideas by one or more individuals as a way to come up with a plan or solution to a problem
1516,Brandish,to gesture while holding a weapon or other item as a threat
1517,Brash,assertive in an aggressive way that often comes across as unpleasant
1518,Brashness,bold assertiveness
1519,Brassy,looking like brass
1520,Bravado,a show of defiance or courage
1521,Brave,"courageous, willing to take action"
1522,Bravery,courage; coldness
1523,Breadth,the extent or measure of how broad or wide something is
1524,Break down,the act of taking something apart to make it smaller and easier to transport of put away
1525,Breakthrough,a sudden discovery or overcoming of an obstacle
1526,Breath,the air that you take in or send out of your lungs
1527,Breathe,the intake and release of air
1528,Breathless,panting or gasping for breath
1529,Breathtaking,something so dazzling it leaves you speechless or unable to move
1530,Breed,a class of animals within a species that have similar physical characteristics
1531,Breeze,"gentle, blowing wind"
1532,Brethren,"the body of members, especially of a fraternal, religious or military order"
1533,Brevity,the quality of expressing something in very few words; briefness
1534,Brew,to prepare a hot drink
1535,Bribe,money or something valuable given to tempt someone to do what you want
1536,Bridal,Relating to a woman who is getting married (a bride)
1537,Bridle,the strap located around the head and neck of a horse that the rider holds onto
1538,Briefly,for a moment
1539,Brigand ,a thief or fugitive
1540,Bright,shining or giving off a lot of light
1541,Bright,very smart; intelligent
1542,Brilliance,exceptional intelligence or talent
1543,Brilliant,very wise or skilled
1544,Brimming,fill or be full to the point of overflowing
1545,Brink,the very edge or border
1546,Brinkmanship,"the habit of following a path to the point of danger before turning back or stopping, normally seen in political affairs "
1547,Brisk,very active and quick
1548,Bristle,to display indications of being angry
1549,Brittle,easy to break
1550,Broach,to mention a topic for debate or discussion
1551,Broad,wide in extent or scope 
1552,Broadcast,a radio or television program
1553,Broaden,to widen or become larger
1554,Brobdingnagian,gigantic; huge
1555,Brocade,a thick patterned material sometimes made with gold coloring
1556,Brochure,a folded page or couple of pages created to inform or promote something that usually contains text and/or pictures
1557,Broil,"to cook with strong, direct heat"
1558,Broken,"fragmented, in separate pieces "
1559,Broker,a person who buys and sells assets for others
1560,Bronze,mixture of metal and tin that is yellowish brown
1561,Brood,the offspring or youngsters in a household unit 
1562,Brooding,appearing to worry about something
1563,Brook,a body of running water smaller than a river; a small stream
1564,Brotherhood,a friendship bond between two men or a group of men
1565,Brought,transported; carried
1566,Brouhaha,an uproar about something insignificant
1567,Browbeat,to bully in an intimidating way
1568,Browse,"to casually look at something, usually when reading or considering a purchase"
1569,Bruise,a blue and black mark on the skin that is an injury
1570,Bruit,a report or a rumor
1571,Brunt,the most unpleasant part of something
1572,Brusque,blunt in manner or speech to the point of harshness
1573,Brutal,violently cruel and inhumane
1574,Brutality,the act of causing or executing cruelty to someone or something
1575,Brute,a bully or mean person
1576,Brutish,cruel
1577,Bubbly,describes a person who is cheerful and animated in personality
1578,Bucolic,relating to the countryside
1579,Buddhism,a religion based on Gautama Buddha’s teachings that suffering is a part of life but can be ended through spiritual development
1580,Budding,becoming larger as part of a natural growing process
1581,Budge,move; shift
1582,Budget,inexpensive; cheap
1583,Buffer,a person or thing that protects somebody or something from being harmed by another
1584,Buffet,"food laid out in this way, to which diners serve themselves"
1585,Buffeted,afflicted/harmed over and over for a long period of time
1586,Buffoon,a silly person who tries to be humorous but comes across as foolish
1587,Buffoonery,silly behavior or habits 
1588,Bugle,a small brass instrument that resembles a trumpet and is usually sounded before an announcement
1589,Bulbous,having the shape of or resembling a bulb; bloated
1590,Bulge,a rounded bump or swelling that juts outward on a surface
1591,Bulk,the larger part of something
1592,Bulky,large and heavily built or shaped
